0 || T1 || Lorem ipsum
1 || T1 || Avangardum
2 || T1 || Dziś w imieniu Fundacja Science Watch Polska uczestniczyłam w rozprawie w Sądzie Okręgowym we Wrocławiu przeciwko Politechnika Wrocławska
3 || T1 || Zeznania świadków są przytłaczające. Pani profesor, przełożona i kierownik zakładu:
4 || T1 || - decydowała z kim pracownik ma się spotykać, co może jeść, jak ma się ubierać, jak może się czesać,
5 || T1 || - dzwoniła lub wysyłała sms-y do pracowników w weekendy, w czasie urlopu, w nocy,
6 || T1 || - pracownicy prowadzili za przełożoną zajęcia, seminaria, wykłady, konsultacje,
7 || T1 || - pracownicy przygotowywali przełożonej publikacje, recenzje, opinie, kartki świąteczne, kanapki na przyjęcia, rozrywkę np. na czas  dłuższej podróży itd.
8 || T1 || - uniemożliwiała awans naukowy, publikowanie artykułów, wyjazdów konferencyjnych,
9 || T1 || - krzyczała, ubliżała, wyzywała, obgadywała, plotkowała, traktowała pracowników jak powietrze, nastawiała pracowników przeciwko sobie, pomawiała, skłócała, sugerowała choroby psychiczne, choroby alkoholowe, problemy rodzinne,
10 || T1 || - odbierała pracownikom autorskie wykłady, środki finansowe na badania, gabinety pracownicze, dostęp do aparatury i laboratoriów.
11 || T1 || Doktorantów traktowała jeszcze gorzej...
12 || T1 || Wszystko w majestacie prawa, gdyż o zachowaniach pani profesor wiedział dziekan, rektor, związki zawodowe na uczelni, a na Politechnice Wrocławskiej istnieją procedury antymobbingowe.
13 || T1 || Czekamy na dalszy ciąg sprawy.
14 || T1 || STOP
15 || T1 || LISTENING
0 || T1 || Lorem ipsum
1 || T1 || Avangardum
2 || T1 || Dziś w imieniu Fundacja Science Watch Polska uczestniczyłam w rozprawie w Sądzie Okręgowym we Wrocławiu przeciwko Politechnika Wrocławska
3 || T1 || Zeznania świadków są przytłaczające. Pani profesor, przełożona i kierownik zakładu:
4 || T1 || - decydowała z kim pracownik ma się spotykać, co może jeść, jak ma się ubierać, jak może się czesać,
5 || T1 || - dzwoniła lub wysyłała sms-y do pracowników w weekendy, w czasie urlopu, w nocy,
6 || T1 || - pracownicy prowadzili za przełożoną zajęcia, seminaria, wykłady, konsultacje,
7 || T1 || - pracownicy przygotowywali przełożonej publikacje, recenzje, opinie, kartki świąteczne, kanapki na przyjęcia, rozrywkę np. na czas  dłuższej podróży itd.
8 || T1 || - uniemożliwiała awans naukowy, publikowanie artykułów, wyjazdów konferencyjnych,
9 || T1 || - krzyczała, ubliżała, wyzywała, obgadywała, plotkowała, traktowała pracowników jak powietrze, nastawiała pracowników przeciwko sobie, pomawiała, skłócała, sugerowała choroby psychiczne, choroby alkoholowe, problemy rodzinne,
10 || T1 || - odbierała pracownikom autorskie wykłady, środki finansowe na badania, gabinety pracownicze, dostęp do aparatury i laboratoriów.
11 || T1 || Doktorantów traktowała jeszcze gorzej...
12 || T1 || Wszystko w majestacie prawa, gdyż o zachowaniach pani profesor wiedział dziekan, rektor, związki zawodowe na uczelni, a na Politechnice Wrocławskiej istnieją procedury antymobbingowe.
13 || T1 || Czekamy na dalszy ciąg sprawy.
14 || T1 || STOP
15 || T1 || LISTENING
